airport name,airport code
LAGUARDIA NY,LGA
DALLAS/FORT WORTH INTL ARPT,DFW
LAKEFRONT AIRPORT,NEW
SEATTLE-TACOMA INTL,SEA
NORFOLK INTL,ORF
GUAYAQUIL/S BOLIVAR,GYE
NEW CASTLE COUNTY,ILG
WASHINGTON DULLES INTL ARPT,IAD
ATLANTA INTL,ATL
ORLANDO SANFORD INTL AIRPORT,SFB
ONTARIO INTL ARPT,ONT
CHICAGO O'HARE INTL ARPT,ORD
GROTON-NEW LONDON AR,GON
SPIRIT OF ST LOUIS,SUS
THEODORE FRANCIS GREEN STATE,PVD
KANSAS CITY INTL,MCI
LIHUE ARPT,LIH
PHOENIX SKY HARBOR,PHX
NASHVILLE INTL,BNA
JIM HAMILTON L B OWENS ARPT,CUB
SOUTHWEST FLORIDA INTL ARPT,RSW
ABERDEEN REGIONAL AR,ABR
NEWARK LIBERTY INTL ARPT,EWR
ASPEN-PITKIN CO/SARD,ASE
ROCHESTER INTL,ROC
MINNEAPOLIS-ST PAUL INTL,MSP
PUEBLO MEMORIAL ARPT,PUB
WESTCHESTER COUNTY ARPT,HPN
BIRMINGHAM-SHUTTLESWORTH INTL,BHM
TAHITI FAAA,PPT
ORLANDO INTL,MCO
MYRTLE BEACH INTL,MYR
LAFAYETTE REGIONAL (LA),LFT
CLEVELAND-HOPKINS INTL ARPT,CLE
SAN FRANCISCO INTL ARPT,SFO
CENTRAL WISCONSIN ARPT,CWA
BARKSDALE AIR FORCE BASE ARPT,BAD
DETROIT METRO WAYNE COUNTY ARPT,DTW
TOLEDO EXPRESS ARPT,TOL
METRO OAKLAND INTL,OAK
BEVERLY MUNICIPAL ARPT,BVY
TED STEVENS ANCHORAGE INTL,ANC
CHARLOTTE/DOUGLAS INTL ARPT,CLT
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,CVG
GREATER PEORIA REGIONAL ARPT,PIA
INDIANAPOLIS INTL,IND
LOUISVILLE INTL ARPT,SDF
PORTLAND INTL (OR),PDX
STEWART INTL AIRPORT,SWF
LOS ANGELES INTL,LAX
BURKE LAKEFRONT,BKL
PHILADELPHIA INTL,PHL
CAPITAL CITY (MI),LAN
CAPITAL (BEIJING),PEK
PEASE INTL TRADEPORT,PSM
SAVANNAH INTL,SAV
HILO INTL ARPT,ITO
FORT LAUDERDALE/HOLLYWOOD INTL,FLL
DALLAS LOVE FIELD ARPT,DAL
LOGAN INTL,BOS
DENVER INTL AIRPORT,DEN
KALAMAZOO/BATTLE CREEK INTL,AZO
GERALD R FORD INTL,GRR
FORT SMITH MUNICIPAL ARPT,FSM
MCCARREN INTL,LAS
HESLER-NOBLE FIELD ARPT,LUL
PENSACOLA REGIONAL,PNS
BALTIMORE WASH INTL,BWI
LAURENCE G HANSCOM,BED
PANAMA CITY - BAY COUNTY INTL,ECP
SUVA FIJI,SUV
OXNARD ARPT,OXR
MORRISTOWN MUNICIPAL ARPT,MMU
TRENTON MERCER ARPT,TTN
TETERBORO AIRPORT,TEB
SANFORD REGIONAL ARPT,SFB
MEMPHIS INTL,MEM
GREATER ROCHESTER INTL,ROC
SAINT HUBERT,YHU
RALEIGH-DURHAM INTL,RDU
DUPAGE AIRPORT,DPA
ROANOKE REGIONAL,ROA
unknown,unknown
EL PASO INTL ARPT,EPI
PALM BEACH INTL,PBI
LEWISTON-NEZ PERCE CO ARPT,LWS
BLOOMINGTON/NORMAL,BMI
INDIANAPOLIS REGIONAL ARPT,KMQ
JACKSON EVERS INTL,JAN
VANCOUVER INTL,YVR
LEHIGH VALLEY INTL,ABE
